5965,-9770
-2593,-3885
-3628,199
6633,8000
3970,-3980
-5698,-6690
1862,-6125
1251,-2947
7063,-5977
-6359,-1424
-3015,9237
9304,-3932
-3227,1788
7893,-1879
-7562,-8741
5588,-6372
-2429,-3326
4250,-1534
7086,-3281
9856,-7031
-7070,-3486
-486,-3754
8483,-5274
1776,6100
-3118,4652
8418,4952
-4410,1992
-8429,-9854
-261,-2159
-8630,2227
-278,-980
-853,-1458
-4768,8388
4303,9777
3491,6835
-9233,-7053
-1350,988
77,-7209
4306,-5556
-6080,-7199
-9197,4614
8063,8301
-3134,-990
-5469,-2350
2371,2204
8631,-9312
-5438,-531
-4408,-5577
-3607,-8437
1634,-4288
-3999,-5762
-2151,4882
4682,2799
-6011,-813
-6076,-2165
4712,-8478
321,-4138
-6868,-3687
790,-3129
-5382,-5650
5153,2166
3351,-9628
-3318,-7501
488,-2970
5920,9787
5925,1052
9524,6065
6688,869
6665,1567
8062,2103
-3397,1162
9588,9620
2429,5732
8907,9859
7598,9160
-4699,9763
-9813,-9876
9054,3193
5061,6884
-2321,-3904
2025,9334
-6486,-6487
6809,2659
-4395,-7852
5794,-2849
9162,-1724
9220,5759
-8126,6202
-4655,-3500
-7848,-2167
-107,2969
-1106,-6890
5264,-9232
9466,4436
2991,1310
6080,9481
45,1170
-3008,-1652
-4255,1973
-4226,609
