3447,-8300
7060,6738
3980,-3924
-9179,7056
661,59
6117,564
-4361,7351
436,2049
-8951,-5347
-3448,-516
-7691,9761
-3550,8651
-9847,-3023
-7381,4050
-6939,8185
7397,-2984
-4412,2144
5207,6563
-8029,4438
-7172,-1789
-1097,-2143
-9765,-1460
8894,3101
4262,6068
2567,-1928
1548,-2109
-4217,-7168
7065,-7962
2135,6481
-6194,-7632
4525,8055
-8783,7463
-8398,6287
9849,-3541
-6915,-6309
-1144,-6750
-9021,4855
5634,-2687
6661,4576
7865,-690
-1985,3504
-1676,3737
9876,8411
-3606,9849
-6018,-4096
-7433,7310
-8522,-8087
1491,4003
3435,-4657
2187,-1346
-8581,-3532
-5681,-4369
5969,-8288
2836,5297
745,1662
4108,697
5988,-4159
8844,2451
-7266,-7241
-5335,-3369
-6545,6183
3571,-4822
-8924,2591
-6053,3616
-539,8526
-8362,-9666
4651,8747
-1074,-712
-2385,-9037
6376,4256
1736,9333
9302,6614
8833,5790
-4348,-3459
4975,-3735
-8279,1618
-4103,-7637
1540,-9490
-1635,-3983
-2397,-2059
-8403,-8432
-113,1009
9806,-6438
-2399,-5261
3429,-6331
7138,-2201
8772,-3951
4578,570
-4409,-4312
6817,-6125
-5094,-2933
-3873,-6132
-1294,348
-512,3943
-3502,-7608
-6586,7816
-6719,-4180
-6075,-6492
1618,-4144
296,-3583
